head	relation	tail
TOB1-AS1	ceRNA or sponge	E4F1
NEAT1	expression association	EIF4G1
TUG1	expression association	RLIM
LINC00504	expression association	PKM
UCA1	expression association	VIM
BLACAT1	expression association	miR-424
UCA1	ceRNA or sponge	ARL2
XIST	ceRNA or sponge	miR-141
LOC550643	transcriptional regulation	miR-125b-2-3p
ADPGK-AS1	ceRNA or sponge	KDM1B
PART1	ceRNA or sponge	CTNNB1
TUG1	expression association	LC3II
FTX	interact with protein	MCM2
PCAT1	expression association	ID1
PVT1	expression association	miR-519d-3p
LINC01133	expression association	Wnt-5a
RP11-713B9.1	expression association	CADM1
SNHG4	ceRNA or sponge	ZIC5
SNHG7	expression association	miR-122-5p
LL22NC03-N64E9.1	expression association	EZH2
LNCARSR	interact with mRNA	PTEN
H19	ceRNA or sponge	CDK6
NEAT1	ceRNA or sponge	SOX5
RPL13AP23	transcriptional regulation	OS9
NMRAL2P	expression association	CDH2
NR2F1-AS1	ceRNA or sponge	SIK1
H19	expression association	NOTCH1
SNHG20	ceRNA or sponge	ROCK1
GACAT3	ceRNA or sponge	CCND2
miR-23b-3p	ceRNA or sponge	TUSC7
HOTAIR	ceRNA or sponge	TNFSF14
NNT-AS1	ceRNA or sponge	miR-129-5p
LINC00461	ceRNA or sponge	ITGB3
UCA1	expression association	CASP3
XIST	ceRNA or sponge	CBLL1
WIF1	expression association	MALAT1
TTTY15	expression association	let-7i-5p
LINC-ROR	expression association	LMNB2
CDKN2B-AS1	ceRNA or sponge	ABCC1
NEAT1	ceRNA or sponge	miR-16
PANTR1	interact with protein	EZH2
MEG3	expression association	IL6
H19	expression association	miR-152
SUMO1P5	interact with mRNA	CCND1
CASC15	expression association	SOX4
CDKN2B-AS1	epigenetic regulation	CDKN2A
PRECSIT	ceRNA or sponge	BRD4
CEBPB	transcriptional regulation	UCA1
SNHG16	ceRNA or sponge	BMP7
LNCARSR	ceRNA or sponge	SOX4
H19	expression association	G6PD
FENDRR	interact with protein	EZH2
lnc-ob1	epigenetic regulation	SP7
GAS5	expression association	MMP9
CYTOR	expression association	MMP9
THORLNC	expression association	IGF2
LINC00462	expression association	AKT1
HOTAIR	ceRNA or sponge	DACH1
CDKN2B-AS1	ceRNA or sponge	ARL2
MIR100HG	expression association	miR-204-5p
HOTAIR	ceRNA or sponge	HLA-G
GAS5	ceRNA or sponge	miR-26a
MALAT1	interact with protein	NRF2
SNHG7	expression association	BDNF
MYC	transcriptional regulation	SNHG12
ENST	expression association	p-AKT
PVT1	ceRNA or sponge	miR-26b
MTA2TR	expression association	MTA2
HOTAIR	epigenetic regulation	NLK
TUG1	ceRNA or sponge	miR-196a
OIP5-AS1	ceRNA or sponge	DYRK1A
HOTAIR	ceRNA or sponge	NPM1
ZEB1-AS1	ceRNA or sponge	miR-335-5p
NTT	transcriptional regulation	PBOV1
MALAT1	ceRNA or sponge	CXCR4
IATPR	expression association	MIR211
FEZF1-AS1	expression association	HES1
CCAT1-L	expression association	ERK
HOTAIR	ceRNA or sponge	SNAI2
MIR570HG	ceRNA or sponge	TXNIP
LOC401317	expression association	CCND1
CASC15	expression association	BAX
AFAP1-AS1	expression association	HBP1
STAT3	expression association	DUXAP8
KMT2A	transcriptional regulation	HOTAIR
TUG1	ceRNA or sponge	miR-212-3p
XIST	ceRNA or sponge	BCL2
SNHG15	ceRNA or sponge	SIRT1
LINC01224	ceRNA or sponge	MIR2467
HEIH	interact with protein	EZH2
MIAT	ceRNA or sponge	PPARGC1A
ZFAS1	ceRNA or sponge	MIR646
EPB41L4A-AS1	transcriptional regulation	TP53
CTC	ceRNA or sponge	KIT
PVT1	ceRNA or sponge	AGO1
DLEU1	ceRNA or sponge	DDX5
AGO2	ceRNA or sponge	TLR4
RSU1P2	ceRNA or sponge	MYC
HAGLROS	expression association	SREBF1
E2F3	transcriptional regulation	ERICD
MIAT	ceRNA or sponge	miR-495
AGO2	ceRNA or sponge	FASLG
SNHG17	expression association	LRPPRC
TUG1	ceRNA or sponge	miR-384
DANCR	expression association	IL6
CCAT1	ceRNA or sponge	PKCÂ¦Ã
HAGLR	ceRNA or sponge	FZD4
LINC01093	interact with protein	IGF2BP1
TP53COR1	expression association	Cyclin D
EBV-miR-BART6-3p	expression association	MIR3936HG
SNHG11	ceRNA or sponge	VEGFA
XIST	ceRNA or sponge	MIR137
TONSL-AS1	transcriptional regulation	TONSL
IL6	transcriptional regulation	AU021063
LNCRNA-ATB	ceRNA or sponge	miR-141-3p
RB1-DT	epigenetic regulation	RB1
LOXL1-AS1	ceRNA or sponge	VMA21
LINC00312	expression association	PRKDC
FGD5-AS1	ceRNA or sponge	HNRNPK
AGO2	ceRNA or sponge	PTEN
LSINCT5	interact with protein	MYCNOS-01
TP73-AS1	ceRNA or sponge	SDAD1
CTC-497E21.4	ceRNA or sponge	NET1
GSEC	interact with protein	DHX36
XIST	expression association	EGFR
ELFN1-AS1	ceRNA or sponge	GFPT1
lncRNA-Unigene56159	ceRNA or sponge	SNAI2
MEG3	ceRNA or sponge	APAF1
PVT1	ceRNA or sponge	FSCN1
DDX11	ceRNA or sponge	SNAI1
LINC00473	interact with protein	NONO
FOXD1-AS1	interact with mRNA	FOXD1
HOTAIR	transcriptional regulation	NFKB1
PVT1	ceRNA or sponge	FASN
LNRRIL6	expression association	IL6
DANCR	ceRNA or sponge	ZEB1
PVT1	ceRNA or sponge	TFRC
SNHG11	interact with protein	MYC
AWPPH	ceRNA or sponge	DKK2
HNF1A-AS1	expression association	H19
MSC-AS1	ceRNA or sponge	GPAM
TP73-AS1	expression association	AGER
TINCR	ceRNA or sponge	MTOR
RMRP	ceRNA or sponge	CCND2
XLOC_006753	expression association	RPS6
SNHG7	ceRNA or sponge	GALNT7
NEAT1	ceRNA or sponge	BZW1
CCDC26	ceRNA or sponge	miR-203
LINC00511	ceRNA or sponge	E2F1
MIR100HG	ceRNA or sponge	KDM6A
LINC00261	ceRNA or sponge	FOXO1
XIST	ceRNA or sponge	ADAMTS5
MX1	interact with protein	GCN5
TCF7L2	transcriptional regulation	LncCCAT1
ABHD11-AS1	ceRNA or sponge	WNT11
SNHG11	interact with protein	HIF1A
SNHG16	ceRNA or sponge	BCL9
MIR100HG	expression association	miR-100
RUSC1-AS1	ceRNA or sponge	miR-340-5p
MALAT1	ceRNA or sponge	MAGEA9
SNHG7	expression association	DKK1
LINC00987	ceRNA or sponge	SIRT1
DANCR	interact with protein	ILF3
MALAT1	expression association	CDH5
CAR10	interact with protein	YBX1
AFAP1-AS1	ceRNA or sponge	FOSL2
SNHG7	expression association	SIRT1
NORAD	ceRNA or sponge	miR-214
TP53COR1	expression association	PKM
CYTOR	epigenetic regulation	CDKN2A
MIR1258	ceRNA or sponge	LINC01278
EPB41L4A-AS1	epigenetic regulation	MYD88
TNF	expression association	HIF1A-AS1
CASC15	expression association	miR-124
HOTAIR	interact with protein	SLC2A1
LINC00355	ceRNA or sponge	ABCB1
KCNQ1OT1	expression association	CXCR4
TUG1	expression association	VEGFA
BCYRN1	ceRNA or sponge	miR-138
LAPAS1	transcriptional regulation	SPNS2
LINC00504	expression association	MYC
HOTAIR	expression association	IL6
NEAT1	ceRNA or sponge	HIF1A
EPIC1	expression association	AKT1
RP11-598D14.1	interact with protein	STAU1
SSTR5-AS1	epigenetic regulation	SSTR5
NR026833.1	expression association	BMP2
CDKN2B-AS1	expression association	N-cadherin
NEAT1	interact with protein	PGK1
EWSAT1	epigenetic regulation	E-cadherin
NEAT1	ceRNA or sponge	CTBP2
URRCC	epigenetic regulation	EGFL7
NKILA	expression association	IL6
MALAT1	ceRNA or sponge	RAB5A
MEG3	ceRNA or sponge	miR-146a
HNF1A-AS1	expression association	CEACAM5
H19	transcriptional regulation	CDH1
PVT1	expression association	VEGFA
ENST00113	expression association	PI3K
LINC00511	expression association	CASP3
TP53	transcriptional regulation	LINC01419
LINC01133	transcriptional regulation	Cyclin A
NEAT1	ceRNA or sponge	TLR4
MIR210HG	ceRNA or sponge	MUC1
NEAT1	ceRNA or sponge	PLA2G4A
ID2-AS1	interact with protein	HDAC8
NKILA	expression association	Clecaspase-3
SNHG1	interact with protein	TP53
LINC00511	expression association	MMP9
TUSC7	ceRNA or sponge	miR-23b
H19	ceRNA or sponge	miR-484
MAFG-DT	ceRNA or sponge	NDUFA4
UCA1	ceRNA or sponge	miR-26b
C2dat1	ceRNA or sponge	VEGFA
MALAT1	expression association	FAS
GHET1	interact with protein	ATF1
ZNF667-AS1	transcriptional regulation	MIR21
SNHG1	ceRNA or sponge	LMO4
CYTOR	epigenetic regulation	IL24
CASC2	interact with protein	HNRNPD
HBX	expression association	DBH-AS1
SP1	transcriptional regulation	TINCR
H19	expression association	RB1
LINC00163	transcriptional regulation	TCF21
HAGLROS	expression association	ATG9B
MALAT1	interact with protein	TEAD1
DUXAP10	expression association	N-cadherin
DANCR	expression association	TGFB1
TFDP1	expression association	IL6
PCGEM1	ceRNA or sponge	miR-770-5p
IL1R1-AS1	expression association	Cyclin D1
HOTAIR	ceRNA or sponge	BCL2
MBNL1-AS1	ceRNA or sponge	FOXO1
OXCT1-AS1	epigenetic regulation	LEF1
ELAVL1	expression association	XIST
EZH2	transcriptional regulation	H19
NEAT1	expression association	SOX2
LINC-ROR	ceRNA or sponge	SOX9
SOX21-AS1	ceRNA or sponge	PAK5
DRAIC	ceRNA or sponge	SLBP
FENDRR	ceRNA or sponge	TIMP2
TGFB1	expression association	MALAT1
ADPGK-AS1	ceRNA or sponge	OTX1
GAS5	epigenetic regulation	COX2
MALAT1	ceRNA or sponge	FBXW8
H19	expression association	ACP5
MALAT1	expression association	CKS1B
HK2P1	ceRNA or sponge	HK2
SNHG16	ceRNA or sponge	LIMK1
LINC00261	ceRNA or sponge	TIMP4
AGAP2-AS1	interact with protein	EZH2
MALAT1	expression association	RBFOX2
MEG3	expression association	LRRK2
MYC	expression association	SNHG7
MIAT	ceRNA or sponge	miR-330-5p
miR-125b	ceRNA or sponge	MALAT1
sONE	transcriptional regulation	MYC
LINC01234	ceRNA or sponge	NUPR1
LINC-ROR	expression association	NANOG
LSINCT5	expression association	CASP1
H19	ceRNA or sponge	ERÂ¦Ã
THORLNC	expression association	GLI1
LINC00922	ceRNA or sponge	CXCR4
HSPA7	ceRNA or sponge	miR-223
BACE1-AS	ceRNA or sponge	BACE1
CYTOR	ceRNA or sponge	CDK13
EPIC1	interact with protein	YAP1
LINC01980	expression association	GADD45A
LINC00702	interact with mRNA	KLF2
DDX11-AS1	epigenetic regulation	LATS2
RP11-476D10.1	ceRNA or sponge	BAX
XIST	ceRNA or sponge	miR-155-5p
H19	expression association	ABCC1
H19	ceRNA or sponge	ID2
AOC4P	expression association	p38
RPL13AP23	expression association	HIF1A
lncGALM	ceRNA or sponge	ZEB2
TUG1	transcriptional regulation	miR-382-5p
lncRNA 00312	expression association	miR-34a-5p
MEG3	ceRNA or sponge	E2F3
G3BP1	epigenetic regulation	H19
MEG3	transcriptional regulation	BMP4
CCAT1	ceRNA or sponge	ADAM17
HOTAIR	expression association	RPS6KB1
IGKJ2-MALLP2	ceRNA or sponge	CDKN1A
WT1-AS	transcriptional regulation	WT1
XIST	ceRNA or sponge	PAX5
MEG3	ceRNA or sponge	TRAF3
SATB2-AS1	epigenetic regulation	SATB2
H19	ceRNA or sponge	PTK2
ANCR	epigenetic regulation	CDKN1A
BANCR	ceRNA or sponge	IGF1R
BLACAT1	ceRNA or sponge	miR-519d-3p
LINC00342	ceRNA or sponge	miR-203a-3p
LOXL1-AS1	ceRNA or sponge	YY1
CDKN2B-AS1	interact with protein	KLF2
MELTF	expression association	BCL2
DLX6-AS1	ceRNA or sponge	CDK4
TSPOAP1-AS1	epigenetic regulation	THBS1
TINCR	expression association	TP53
CASC2c	expression association	MAPK3
AWPPH	expression association	CTNNB1
EPIC1	expression association	CDK9
AR	transcriptional regulation	DRAIC
UCA1	ceRNA or sponge	miR-193a-3p
NKILA	ceRNA or sponge	miRNA-21
NNT-AS1	expression association	Cyclin D1
XIST	ceRNA or sponge	IRS1
PCAT6	ceRNA or sponge	TGFBR1
MIR4435-2HG	ceRNA or sponge	B3GNT5
NEAT1	ceRNA or sponge	miR-194
LMCD1-AS1	ceRNA or sponge	COL6A3
HOTAIR	ceRNA or sponge	miR-126
LINC00599	ceRNA or sponge	KLF16
CRNDE	ceRNA or sponge	NASP
HOTAIR	expression association	CCNJ
lnc-TSI	interact with protein	SMAD3
NBR2	interact with protein	PRKAG1
CASC2	ceRNA or sponge	CDK19
TPT1-AS1	ceRNA or sponge	STMN1
CBR3-AS1	expression association	CDH1
CRNDE	ceRNA or sponge	PAK5
FEZF1-AS1	ceRNA or sponge	miR-196a
TUG1	expression association	miR-300
FENDRR	transcriptional regulation	CTNNB1
MCF2L-AS1	ceRNA or sponge	RUNX2
LINC01116	expression association	Caspase9
MALAT1	interact with protein	PTBP2
LINC-ROR	ceRNA or sponge	let-7family
MALAT1	expression association	NPHS1
DLGAP1-AS1	ceRNA or sponge	WTAP
LINC02381	expression association	CBX5
H19	expression association	EGFR
MIR924HG	epigenetic regulation	STAT1
LINC00472	ceRNA or sponge	DEDD
SOX21-AS1	ceRNA or sponge	miR-144-3p
ZEB2-AS1	ceRNA or sponge	BCL2
GHET1	expression association	KLF2
MINCR	expression association	CDT1
HULC	expression association	SPHK1
MIR4435-2HG	expression association	TGFB1
HAGLR	expression association	RGS3
LINC01116	ceRNA or sponge	MIR592
H19	ceRNA or sponge	COL1A1
UCA1	expression association	TGFbeta1
CRNDE	ceRNA or sponge	miR-141
H19	expression association	STAT3
HOTAIR	transcriptional regulation	NSG1
RP11-395G23.3	ceRNA or sponge	RORA
EZR-AS1	expression association	E-cadherin
MIAT	ceRNA or sponge	HDAC4
LINC00205	ceRNA or sponge	EPHX1
WWC2-AS1	ceRNA or sponge	FGF2
SNHG1	ceRNA or sponge	ADAM10
GACAT3	ceRNA or sponge	ELAVL1
CDKN2B-AS1	expression association	p15
PCAT1	expression association	CRKL
LNCOC1	ceRNA or sponge	CD274
MAGI2-AS	ceRNA or sponge	PTEN
HCP5	ceRNA or sponge	CDK8
MEG3	expression association	ABCC1
CCAT2	expression association	SMN1
ANKRD40CL	ceRNA or sponge	HOXA10
SNHG20	expression association	FOXK1
SNHG6	ceRNA or sponge	miR-146-a
H19	ceRNA or sponge	HMGA1
NFE2L2	transcriptional regulation	LUCAT1
MALAT1	transcriptional regulation	LTBP3
TUG1	ceRNA or sponge	DLX1
CDKN2B-AS1	interact with protein	EZH2
GAS5	ceRNA or sponge	CALM2
MALAT1	interact with mRNA	ITGA4
PWAR6	ceRNA or sponge	BMP2
SNHG1	epigenetic regulation	CDKN2B
FAM83A-AS1	ceRNA or sponge	MMP14
LUCAT1	ceRNA or sponge	miR-181a-5p
DANCR	ceRNA or sponge	MMP16
SNHG1	ceRNA or sponge	WNT2B
MEG3	ceRNA or sponge	ADH4
H19	ceRNA or sponge	miR-200b-3p
Mirt2	expression association	TNF
ICMT-DT	expression association	CDKN1A
HERES	interact with protein	EZH2
MALAT1	expression association	p-EGFR
HOTTIP	expression association	CYB5R2
HOTAIR	epigenetic regulation	SOX17
LINC01198	transcriptional regulation	PIK3CA
PCAT1	expression association	MYC
H19	ceRNA or sponge	FOXM1
HIF1A-AS2	ceRNA or sponge	miR-153-3p
IGFL2-AS1	ceRNA or sponge	ARPP19
ZFPM2-AS1	ceRNA or sponge	HOXA1
MIR99AHG	ceRNA or sponge	FOXP1
MIR503HG	expression association	miR-625-5p
LINC00961	expression association	SNAI2
LINC00515	ceRNA or sponge	PRMT5
HOTAIR	epigenetic regulation	miR-454-3p
TUG1	ceRNA or sponge	SLIT2
AFAP1-AS1	epigenetic regulation	CDKN1A
MALAT1	ceRNA or sponge	miR-142-3p
MRTFA	transcriptional regulation	HOTAIR
Chaer	expression association	PRC2
CASC2	ceRNA or sponge	miR-21-5p
TP73-AS1	ceRNA or sponge	miR-141-3p
STAT1	transcriptional regulation	DLEU2
TP53COR1	expression association	MIR625
MALAT1	ceRNA or sponge	OAS3
CDKN2B-AS1	expression association	PI3K
DANCR	ceRNA or sponge	AKT2
CDKN2B-AS1	ceRNA or sponge	BMI1
NEAT1	ceRNA or sponge	KCTD20
KIMAT1	transcriptional regulation	DHX9
MEG3	ceRNA or sponge	HMGB1
SNHG16	ceRNA or sponge	p62
AND2-AS1	transcriptional regulation	RUNX2
LINC00511	ceRNA or sponge	EZH2
TNK2-AS1	interact with protein	STAT3
TUSC7	ceRNA or sponge	miR-23b-3p
LINC-ROR	expression association	SOX2
SOX2-OT	expression association	H3K27me3
MEG3	expression association	ABCB1
TP73-AS1	expression association	PTEN
ABHD11-AS1	ceRNA or sponge	SOX4
SNHG3	ceRNA or sponge	ITGA5
PVT1	ceRNA or sponge	ITGB8
Â¦Â¤Np63Â¦Ã	expression association	MIR17HG
LINC00511	ceRNA or sponge	CDK6
LOXL1-AS1	ceRNA or sponge	SEMA7A
MT1JP	expression association	TP53
ZEB1-AS1	ceRNA or sponge	miR-200s
WSPAR	expression association	TIMMDC1
HCP5	ceRNA or sponge	PLAGL2
GATD3	interact with protein	POU5F1
GAS5	expression association	CASP9
SNHG6	epigenetic regulation	CDKN1B
LINC-ROR	interact with protein	HNRNPD
PCAT1	expression association	miR-129-5p
SLC26A4-AS1	expression association	E-cadherin
H19	interact with protein	MTOR
SNHG20	transcriptional regulation	MMP9
NEAT1	ceRNA or sponge	MIR146B
LINC-ROR	ceRNA or sponge	miR-206
IL1R1-AS1	expression association	BCL2
CCAT2	epigenetic regulation	NDRG1
TUG1	epigenetic regulation	RND3
HOTAIR	expression association	BECN1
ELFN1-AS1	expression association	vimentin
HOXA11-AS	ceRNA or sponge	HMGB2
CASC11	ceRNA or sponge	FOXK1
HEIH	ceRNA or sponge	miR-939
SNHG1	ceRNA or sponge	TGFBR2
LINC00968	transcriptional regulation	WNT2
KLF8	transcriptional regulation	AC132217.4
HCG11	ceRNA or sponge	CPEB3
GAS5	expression association	IL10
HOTAIR	epigenetic regulation	CDK4
HOTAIR	ceRNA or sponge	miR-203a-3p
HOXA-AS2	ceRNA or sponge	EGFR
NORAD	ceRNA or sponge	PEAK1
HAGLR	ceRNA or sponge	FOXM1
miR-101-3p	ceRNA or sponge	SNHG1
NKILA	expression association	SNAI1
TMPO-AS1	ceRNA or sponge	miR-383-5p
LINC01714	epigenetic regulation	FOXO3
H19	ceRNA or sponge	SOCS5
H19	ceRNA or sponge	BRD4
linc-UFC1	expression association	CTNNB1
HAGLR	ceRNA or sponge	MMP9
CHRNB2	expression association	IL-1Â¦Ã
DDX11-AS1	ceRNA or sponge	CDK6
STAT1	transcriptional regulation	LINC00174
DGCR8	interact with mRNA	ZFAT-AS1
NEAT1	expression association	miR-181d-5p
HCP5	ceRNA or sponge	MAPK1
SPYR4-IT1	ceRNA or sponge	ZEB1
NCK1-DT	ceRNA or sponge	NCK1
CASC2c	expression association	MAPK1
BLACAT1	epigenetic regulation	MRPL28
LUCAT1	expression association	BAX
IATPR	expression association	NANOG
SNHG12	expression association	MMP13
UCA1	ceRNA or sponge	KIF20A
SCARNA10	expression association	PRC2
HOTAIR	ceRNA or sponge	CXCR4
H19	ceRNA or sponge	DNMT3B
LGMNP1	ceRNA or sponge	LGMN
PVT1	ceRNA or sponge	KIF23
LINC00467	interact with protein	EZH2
H19	expression association	POU5F1
TUG1	expression association	PTEN
SNHG16	transcriptional regulation	PARP9
NEAT1	expression association	CDH1
CCAT1	ceRNA or sponge	ITPKB
GATA6	transcriptional regulation	MIR100HG
LUCAT1	ceRNA or sponge	SOX2
NEAT1	expression association	let-7g-5p
TMEM238L	ceRNA or sponge	GFI1
RP5-833A20.1	expression association	miR-382-5p
PART1	ceRNA or sponge	RUNX3
LINC00958	expression association	NUDT19
TDRG1	ceRNA or sponge	SEMA4C
miR-140	interact with protein	SNHG20
SP1	transcriptional regulation	POU3F3
H19	ceRNA or sponge	VIM
LINC00707	expression association	CDC42
LIFR-AS1	ceRNA or sponge	VEGFA
LINC00319	ceRNA or sponge	NACC1
FOXD2-AS1	ceRNA or sponge	HDGF
MEG3	ceRNA or sponge	MIR708
EPIST	ceRNA or sponge	miR-149-5p
NEAT1	expression association	POU5F1
DLGAP1-AS1	ceRNA or sponge	CDK8
TTN-AS1	ceRNA or sponge	PAK3
H19	expression association	miR-140-5p
SNHG1	ceRNA or sponge	SP1
GAS5	ceRNA or sponge	TGFBR1
SNHG1	ceRNA or sponge	YAP1
UCA1	chromatin looping	CTNNB1
SNHG15	expression association	MMP9
GLCC1	interact with protein	MYC
OIP5-AS1	ceRNA or sponge	ZEB1
PTTG3P	expression association	SNAI1
HAGLR	ceRNA or sponge	miR-147a
MALAT1	ceRNA or sponge	miR-150
miR-383-5p	ceRNA or sponge	TMPO-AS1
H19	ceRNA or sponge	CRYAA
CARMN	epigenetic regulation	miR-21
LINC01638	expression association	TGFB1
DSCAM-AS1	ceRNA or sponge	ATXN7L3
GIHCG	expression association	MIR1281
VPS9D1-AS1	interact with protein	CDK4
SRC-1	expression association	XIST
TTN-AS1	interact with protein	PTEN
circPVT1	ceRNA or sponge	STAT3
NKILA	expression association	NFKBIA
HOTAIRM1	ceRNA or sponge	IRF4
HOTAIR	epigenetic regulation	TNFRSF10B
LINC00659	expression association	MMP3
FOXD3-AS1	ceRNA or sponge	RICTOR
GSEC	interact with mRNA	PFKFB3
PCAT19	ceRNA or sponge	PDK4
MSTO2P	interact with protein	EZH2
H19	expression association	SNAI2
H19	expression association	BCR-ABL
KCNQ1OT1	ceRNA or sponge	SORBS2
LINC00662	ceRNA or sponge	ITPR1
TUG1	ceRNA or sponge	FOXQ1
GACAT3	expression association	E-Cadherin
MRCCAT1	interact with protein	EZH2
DANCR	epigenetic regulation	FBP1
MALAT1	ceRNA or sponge	SOX9
FAS-AS1	expression association	DNMT3B
LINC00460	ceRNA or sponge	PAK1
HOTAIR	expression association	ATG3
MALAT1	expression association	MAPK14
PTENP1	ceRNA or sponge	ULK1
FGD5-AS1	ceRNA or sponge	SOCS6
HMGA2-AS1	expression association	HMGA2
SNHG6	ceRNA or sponge	NUAK1
LINC00662	ceRNA or sponge	CLDN8
HOXA-AS3	ceRNA or sponge	BMP1
TCONS_00034812	epigenetic regulation	miR-21
SNHG1	ceRNA or sponge	FTMT
KCNQ1OT1	ceRNA or sponge	YY1AP1
GAS5	ceRNA or sponge	miR-1297
B4GALT1-AS1	interact with protein	ELAVL1
PCAT1	ceRNA or sponge	FSCN1
GAS5	expression association	CASP3
HOTTIP	expression association	CYP26B1
H19	expression association	GCLC
PCGEM1	transcriptional regulation	MYC
SNHG4	ceRNA or sponge	c-Met
DANCR	interact with protein	RXRA
XIST	expression association	MGMT
MEG3	ceRNA or sponge	PPARG
SNHG16	ceRNA or sponge	MUC5AC
ZFAS1	ceRNA or sponge	MIR647
HCP5	expression association	N-cadherin
GClnc1	interact with protein	TP53
HULC	expression association	vimentin
OIP5-AS1	ceRNA or sponge	XIAP
Linc8087	transcriptional regulation	COL4A2
TPTEP1	ceRNA or sponge	miR-328-5p
GAS5	expression association	CDK1
HAS2-AS1	ceRNA or sponge	PRPS1
AFAP1-AS1	expression association	MMP9
MALAT1	ceRNA or sponge	GRB2
CCAT1	ceRNA or sponge	BMI1
MALAT1	ceRNA or sponge	miR-140-5p
CRNDE	ceRNA or sponge	PIWIL4
SATB1	epigenetic regulation	UCA1
PFI	interact with protein	SRSF1
SNHG7	expression association	RBM19
FLVCR1-DT	ceRNA or sponge	YAP1
MALAT1	interact with protein	CDH1
SOX2-OT	ceRNA or sponge	HNRNPA2B1
MEG3	expression association	HES1
HCG11	ceRNA or sponge	MTA3
LINC00222	expression association	GSK3B
CDKN2B-AS1	transcriptional regulation	miR-199a
PCBP2-OT1	expression association	SNAI1
SNHG1	expression association	Caspase3
PVT1	expression association	CDKN2B
KCNQ1OT1	ceRNA or sponge	EGFR
LINC01419	interact with protein	EZH2
lnc-ATB	ceRNA or sponge	ZEB2
LINC00662	ceRNA or sponge	miR-340-5p
ZEB2-AS1	interact with protein	ZEB2
FTH1P3	expression association	RELA
SAMMSON	interact with protein	EP300
PICART1	expression association	AKT1
HAGLR	ceRNA or sponge	SLC27A4
SNHG16	ceRNA or sponge	miR-384
DUXAP8	ceRNA or sponge	NUPR1
NBR2	interact with protein	PRKAA2
FBXL19-AS1	ceRNA or sponge	MIR718
PCGEM1	ceRNA or sponge	STAT3
MALAT1	interact with protein	BIRC7
SNHG8	ceRNA or sponge	KPNA2
TMPO-AS1	ceRNA or sponge	SOX4
MYLK-AS1	ceRNA or sponge	E2F7
PDIA3P1	transcriptional regulation	G6PD
miR-190a	ceRNA or sponge	TRERNA1
DUXAP10	expression association	CDK4
SNHG16	ceRNA or sponge	MIR340
TP73-AS1	ceRNA or sponge	miR-142
SP1	transcriptional regulation	LUCAT1
AR	transcriptional regulation	TMPO-AS1
H19	expression association	HMGA2
LUCAT1	expression association	EZH2
LINC00659	expression association	IQGAP3
CDKN2B-AS1	ceRNA or sponge	TGFbetaI
OIP5-AS1	ceRNA or sponge	DNMT1
STAT3	transcriptional regulation	TINCR
VPS9D1-AS1	ceRNA or sponge	MYC
HCG22	ceRNA or sponge	miR-650
SNHG3	ceRNA or sponge	miR-196a-5p
KLF5	transcriptional regulation	BBOX1-AS1
MALAT1	expression association	MRP1
PVT1	ceRNA or sponge	HMGB1
DUXAP9	ceRNA or sponge	miR-26a
P5848	transcriptional regulation	ENO1
MEG3	expression association	TGFB1
miR-217	expression association	MALAT1
HAGLROS	expression association	FAS
FOXA2	transcriptional regulation	LINC00261
GCM1	ceRNA or sponge	miR-124
PVT1	expression association	MIR486-1
SOX21-AS1	epigenetic regulation	CDKN1A
HAS2-AS1	expression association	HAS2
LINC00184	ceRNA or sponge	ANXA2
SNHG3	ceRNA or sponge	YAP1
PCNAP1	ceRNA or sponge	PCNA
CDKN2B-AS1	expression association	MIR4440
HOXA11-AS	expression association	MMP9
MALAT1	transcriptional regulation	SFPQ
XIST	ceRNA or sponge	miR-214-3p
u50535	expression association	CCL20
MAGI1-IT1	ceRNA or sponge	ZEB1
PRDM16-DT	expression association	PIK3CA
DLX6-AS1	expression association	PIK3CA
ADAMTS9-AS2	ceRNA or sponge	FOXO1
TTTY15	interact with protein	DNMT3A
CCAT2	ceRNA or sponge	miR-216b
GRIK1-AS1	ceRNA or sponge	IFIT2
MEG3	interact with mRNA	TP63
HOXA11-AS	expression association	KLF2
CRNDE	ceRNA or sponge	XIAP
TGFB1	expression association	loc285194
IQANK1	ceRNA or sponge	WNT3A
TUG1	ceRNA or sponge	ATF2
LINC00312	ceRNA or sponge	CDH1
MIR377	expression association	MEG3
HAGLR	epigenetic regulation	CDKN1C
ESR1	expression association	H19
LINC00528	ceRNA or sponge	COX2
DUXAP9	ceRNA or sponge	MSI2
MALAT1	ceRNA or sponge	AR
PTENP1	ceRNA or sponge	ATG7
MEG3	expression association	miR-93
PANDAR	interact with protein	HNRNPU
HULC	interact with protein	AKT1
u50535	expression association	ERK
UCA1	ceRNA or sponge	miR-495
HOTAIR	expression association	CD274
miR-34c-5p	ceRNA or sponge	CBR3-AS1
WFDC21P	interact with protein	STAT3
JPX	transcriptional regulation	AXIN2
CRNDE	interact with protein	HNRNPUL2
LNCNEF	expression association	TGFB1
NRIR	interact with protein	MYC
MALAT1	ceRNA or sponge	FOXP2
LINC00958	ceRNA or sponge	YWHAZ
lincNMR	expression association	YBX1
TUG1	ceRNA or sponge	IGF2
DGCR5	expression association	GSK3B
XIST	ceRNA or sponge	PAX6
HOTTIP	expression association	E-cadherin
OIP5-AS1	interact with protein	GSK-3beta
APTR	ceRNA or sponge	YAP1
HNF1A-AS1	ceRNA or sponge	MAP2K4
