Regulator	SearchregulatoryMechanism	Target
LINC-ROR	expression association	PROM1
GPC3-AS1	epigenetic regulation	GPC3
MFI2	expression association	FOXP4
BCAR4	transcriptional regulation	GLI2
HOTAIR	expression association	miR-326
HOTAIR	expression association	SP1
MALAT1	ceRNA or sponge	MMP14
MALAT1	ceRNA or sponge	SNAI1
CAMTA1-DT	epigenetic regulation	CAMTA1
NEAT1	ceRNA or sponge	NRAS
XIST	epigenetic regulation	KLF2
FER1L4	ceRNA or sponge	PTEN
miR-17-3p	ceRNA or sponge	GCASPC
KRT7-AS	interact with mRNA	KRT7
XIST	ceRNA or sponge	EZH2
linc-223	ceRNA or sponge	IRF4
CLMAT3	expression association	CDKN1B
CLMAT3	expression association	CDH1
CAR10	expression association	EGFR
CAR10	interact with protein	YBX1
XIST	ceRNA or sponge	PDK1
TRPM2-AS	expression association	SHC1
miR-491-5p	ceRNA or sponge	PRINS
HOTAIR	expression association	TP53
HOTAIR	ceRNA or sponge	SOX2
GAS5	expression association	BRCA1
GAS5	expression association	TP53
CYTOR	epigenetic regulation	IL24
H19	ceRNA or sponge	LIN28A
TUG1	ceRNA or sponge	VEGFA
HIT000218960	expression association	HMGA2
XIST	ceRNA or sponge	MACC1
PTCSC2	interact with protein	FOXE1
CRNDE	ceRNA or sponge	TCF4
CRNDE	ceRNA or sponge	CTNNB1
SNHG12	ceRNA or sponge	MAP3K11
MALAT1	ceRNA or sponge	ITGB1
TUG1	epigenetic regulation	LIMK2
MEG3	epigenetic regulation	CDH1
MEG3	epigenetic regulation	miR-200b
MEG3	epigenetic regulation	miR-200a
MEG3	epigenetic regulation	miR-429
MEG3	epigenetic regulation	miR-200c
MEG3	epigenetic regulation	miR-141
MALAT1	ceRNA or sponge	GLI2
XIST	ceRNA or sponge	BAG1
DLX6-AS1	ceRNA or sponge	PTEN
ANCR	interact with protein	EZH2
LINC00161	ceRNA or sponge	PTEN
H19	expression association	CBL
MEG3	ceRNA or sponge	BRI3
UCA1	ceRNA or sponge	ARL2
HANR	interact with protein	GSK3B
UPF1	interact with protein	MALAT1
XIST	ceRNA or sponge	AR
SNHG6	ceRNA or sponge	ZEB1
SNHG6	epigenetic regulation	CDKN1B
AFAP1-AS1	expression association	MMP2
AFAP1-AS1	expression association	MMP9
XLOC_008466	ceRNA or sponge	MMP2
XLOC_008466	ceRNA or sponge	XIAP
CRNDE	ceRNA or sponge	E2F3
CRNDE	ceRNA or sponge	TCF7L2
LINC-ROR	transcriptional regulation	ZEB1
XIST	ceRNA or sponge	miR-186-5p
TUSC7	ceRNA or sponge	CDK6
H19	expression association	MMP9
NEAT1	ceRNA or sponge	CTBP2
HOTAIR	epigenetic regulation	miR-34a
PCBP2-OT1	interact with mRNA	RASAL1
CYTOR	ceRNA or sponge	HIF1A
PVT1	expression association	CDKN1A
HOTAIR	epigenetic regulation	miR-663b
HOTAIR	expression association	IGF2
SNHG5	expression association	STAU1
MALAT1	ceRNA or sponge	PPP1R13L
miR-376c-3p	ceRNA or sponge	CYTOR
AC009084.3	ceRNA or sponge	MUC2
SNHG1	ceRNA or sponge	miR-195
lnc-GNAT1-1	expression association	PEBP1
MALAT1	ceRNA or sponge	SIRT1
FOXC2-AS1	interact with mRNA	FOXC2
MRCCAT1	epigenetic regulation	NPR3
CYTOR	ceRNA or sponge	FEZF1
HOTAIR	epigenetic regulation	TNFRSF10B
LNCRNA-ATB	ceRNA or sponge	FERMT2
HEIH	epigenetic regulation	miR-200a
HEIH	epigenetic regulation	miR-200b
HEIH	epigenetic regulation	miR-429
FBXL19-AS1	ceRNA or sponge	miR-203
POU5F1	transcriptional regulation	NEAT1
POU5F1	transcriptional regulation	MALAT1
CDKN2B-AS1	expression association	PARP1
H19	ceRNA or sponge	CYTH3
H19	ceRNA or sponge	GIT2
HOXA11-AS	epigenetic regulation	miR-200b
CRNDE	interact with protein	HNRNPUL2
HOTAIR	ceRNA or sponge	SNAI2
SNHG1	expression association	ZEB1
TCONS_00026907	ceRNA or sponge	ELK1
PVT1	ceRNA or sponge	YAP1
TUSC7	ceRNA or sponge	miR-23b
MSTO2P	expression association	miR-335
SNHG1	ceRNA or sponge	CST3
TUG1	ceRNA or sponge	miR-145-5p
PCAT14	epigenetic regulation	miR-372
PVT1	ceRNA or sponge	LASP1
SNHG1	ceRNA or sponge	CDK7
AF113014	ceRNA or sponge	EGR2
FENDRR	expression association	ABCB1
FENDRR	expression association	ABCC1
HOTAIR	ceRNA or sponge	NOTCH3
n340790	ceRNA or sponge	miR-1254
UCC	ceRNA or sponge	miR-143
HOTAIR	ceRNA or sponge	HIF1A
MEG3	interact with mRNA	ATG3
MIR100HG	ceRNA or sponge	CDK6
MIR100HG	ceRNA or sponge	MYCN
MIR100HG	ceRNA or sponge	SNCAIP
MIR100HG	ceRNA or sponge	KDM6A
CANT1	epigenetic regulation	JPX
CANT1	epigenetic regulation	FTX
CANT1	expression association	XIST
MEG3	expression association	PI3K
HNF1A-AS1	epigenetic regulation	NKD1
HNF1A-AS1	epigenetic regulation	CDKN1A
SNHG20	epigenetic regulation	CDH1
TUG1	ceRNA or sponge	ROCK1
CASC9	interact with protein	HIF1A
HULC	interact with protein	YBX1
H19	ceRNA or sponge	HMGA1
lncRNA-PE	transcriptional regulation	miR-200a
lncRNA-PE	transcriptional regulation	miR-200b
lncRNA-PE	expression association	ZEB1
MALAT1	expression association	AXL
UCA1	ceRNA or sponge	miR-495
MYCN	expression association	SNHG1
CDKN2B-AS1	expression association	CDKN2B
TUG1	ceRNA or sponge	PTEN
RBM24	expression association	MALAT1
EGF	epigenetic regulation	LINC01089
H19	expression association	MACC1
H19	expression association	EGFR
H19	expression association	CTNNB1
H19	expression association	MAPK3
H19	expression association	MAPK1
HOTAIR	ceRNA or sponge	HLA-G
HOTAIR	ceRNA or sponge	RAB22A
MEG3	expression association	HSPA5
ZEB1-AS1	expression association	BAX
ZEB1-AS1	expression association	BCL2
ZEB1-AS1	expression association	CCND1
ZEB1-AS1	expression association	CDK2
ZEB1-AS1	expression association	MMP2
ZEB1-AS1	expression association	MMP9
ZEB1-AS1	expression association	ITGB1
MALAT1	ceRNA or sponge	TGFA
SOCS2-AS1	epigenetic regulation	TNFSF10
NEAT1	ceRNA or sponge	E2F3
TUG1	epigenetic regulation	CELF1
PVT1	epigenetic regulation	miR-200b
MEG3	expression association	HES1
HOTAIR	expression association	FOXM1
HOTAIR	expression association	FOXA1
HOTAIR	epigenetic regulation	PDCD4
PICSAR	expression association	DUSP6
PICSAR	expression association	MAPK3
PICSAR	expression association	MAPK1
UCA1	ceRNA or sponge	FOXM1
CRNDE	ceRNA or sponge	PIWIL4
miR-148b-3p	ceRNA or sponge	HOTAIR
TUSC7	ceRNA or sponge	EPHA4
UCA1	ceRNA or sponge	MMP14
TUSC7	expression association	BCL2
CASC11	transcriptional regulation	HNRNPK
MYC	epigenetic regulation	CASC11
RMRP	ceRNA or sponge	CCND2
DANCR	epigenetic regulation	TIMP2
DANCR	epigenetic regulation	TIMP3
HIF1A-AS2	expression association	HMGA1
HOXA13	epigenetic regulation	HOTTIP
H19	expression association	ABCC1
H19	expression association	ABCG2
BCYRN1	interact with mRNA	BCL2L1
LNCRNA-ATB	ceRNA or sponge	TGFB2
CRNDE	expression association	CASP3
CRNDE	expression association	PCNA
H19	ceRNA or sponge	YES1
PAUPAR	epigenetic regulation	HES1
DUXAP9	ceRNA or sponge	SNAI1
DUXAP9	ceRNA or sponge	VIM
DUXAP9	ceRNA or sponge	TJP1
HOTTIP	expression association	HOXA13
MALAT1	expression association	MMP13
MALAT1	expression association	MMP19
MALAT1	expression association	ADAMTS1
linc-UFC1	expression association	CTNNB1
linc-UFC1	expression association	MAPK1
linc-UFC1	expression association	CDK4
linc-UFC1	expression association	CCND1
linc-UFC1	expression association	RB1
AGAP2-AS1	epigenetic regulation	LATS2
AGAP2-AS1	epigenetic regulation	KLF2
HNF1A-AS1	ceRNA or sponge	BCL2
HNF1A-AS1	ceRNA or sponge	ATG5
LNCARSR	ceRNA or sponge	AXL
LNCARSR	ceRNA or sponge	MET
LINC00673	epigenetic regulation	NCALD
MALAT1	expression association	EZH2
MALAT1	expression association	LIN28A
FTX	expression association	DDX58
SNHG1	expression association	TP53
UCA1	expression association	PARP1
UCA1	expression association	BCL2
MALAT1	transcriptional regulation	PROM1
H19	ceRNA or sponge	ZEB1
H19	ceRNA or sponge	ZEB2
FGFR3-AS1	interact with mRNA	FGFR3
PVT1	epigenetic regulation	LATS2
CCAT1	ceRNA or sponge	MYC
LINC00668	epigenetic regulation	CDKN2B
E2F1	transcriptional regulation	LINC00668
LINC00668	epigenetic regulation	CDKN2A
LINC00668	epigenetic regulation	CDKN1A
LINC00668	epigenetic regulation	CDKN1B
LINC00668	epigenetic regulation	CDKN1C
MEG3	expression association	GDF15
XIST	ceRNA or sponge	SMAD7
MYC	transcriptional regulation	TINCR
TINCR	interact with protein	EPCAM
miR-141	expression association	H19
Lnc34a	epigenetic regulation	miR-34a
TP73-AS1	expression association	BDH2
TATDN1	expression association	CDH1
TATDN2	expression association	ERBB2
TATDN3	expression association	CTNNB1
TATDN1	expression association	EZR
UCA1	ceRNA or sponge	CREB1
AFAP1-AS1	expression association	RHOA
AFAP1-AS1	expression association	RAC2
GAS5	expression association	MMP2
BACE1-AS	expression association	BACE1
MALAT1	ceRNA or sponge	CDK4
MT1JP	expression association	TP53
SAMMSON	interact with protein	C1QBP
UCA1	epigenetic regulation	CDK2
UCA1	epigenetic regulation	CDKN1B
HULC	expression association	ESM1
MALAT1	epigenetic regulation	PCDH10
HOTAIR	expression association	CASP2
HOTAIR	expression association	miR-125a-5p
MALAT1	expression association	AKAP9
FEZF1-AS1	expression association	FEZF1
LINC01133	epigenetic regulation	KLF2
LINC01133	epigenetic regulation	CDKN1A
LINC01133	epigenetic regulation	CDH1
RGMB-AS1	expression association	RGMB
CCAT1	ceRNA or sponge	HNRNPA1
MALAT1	expression association	TJP1
CYTOR	epigenetic regulation	CDKN2B
CYTOR	epigenetic regulation	CDKN2A
PANDAR	transcriptional regulation	CDKN2A
PVT1	expression association	CDKN2B
SNHG12	expression association	AMOT
HOTAIR	expression association	WIF1
MALAT1	expression association	KDM5B
MALAT1	expression association	miR-448
TUG1	epigenetic regulation	CDKN1C
CTNNB1	transcriptional regulation	KCNQ1OT1
lncRNA-NUTF2P3-001	ceRNA or sponge	KRAS
MALAT1	transcriptional regulation	EPAS1
AOC4P	interact with protein	UHRF1
HOTAIR	expression association	PIK3R3
NEAT1	ceRNA or sponge	CDK6
HOTAIR	expression association	ANGPT2
PANTR1	expression association	CCND1
PANTR1	expression association	CDK4
PANTR1	expression association	CDKN2C
PANTR1	expression association	RB1
HOTAIR	ceRNA or sponge	ELAVL1
MEG3	interact with protein	ILF3
HOTAIR	epigenetic regulation	HOXA1
MALAT1	expression association	MAP2K1
MALAT1	expression association	MAPK3
MALAT1	expression association	MAPK14
MALAT1	expression association	MAPK8
PCAT6	expression association	TP53
PCAT6	expression association	MYC
miR-190a	ceRNA or sponge	TRERNA1
H19	expression association	TWIST1
H19	expression association	POU5F1
H19	expression association	NANOG
H19	expression association	FUT4
miR-675	epigenetic regulation	H19
H19	expression association	PKM
MYC	transcriptional regulation	H19
H19	expression association	miR-107
ETS1	epigenetic regulation	BANCR
CRNDE	ceRNA or sponge	XIAP
CRNDE	ceRNA or sponge	PAK5
HOTAIR	ceRNA or sponge	FGF1
MEG3	expression association	CTNNB1
TUG1	ceRNA or sponge	HSF2
CDKN2B-AS1	epigenetic regulation	KLF2
LNCRNA-ATB	ceRNA or sponge	ZNF217
LNCRNA-ATB	ceRNA or sponge	PTEN
MTOR	expression association	GAS5
miR-148a	expression association	HOTAIR
AR	expression association	PCGEM1
miR-9	expression association	MALAT1
CCAT1	ceRNA or sponge	HMGA2
NBAT1	expression association	REST
HOTAIR	expression association	miR-7
SPP1	expression association	HOTAIR
EZH2	epigenetic regulation	SPRY4-IT1
SPRY4-IT1	expression association	CDH1
SPRY4-IT1	expression association	VIM
LINC-ROR	ceRNA or sponge	miR-145
TGFB1	expression association	HOTAIR
miR-21	ceRNA or sponge	GAS5
E2F3	transcriptional regulation	ERICD
E2F1	transcriptional regulation	ERICD
loc285194	ceRNA or sponge	miR-211
RASSF1-AS1	epigenetic regulation	RASSF1
RAB4B-EGLN2	expression association	EGLN2
MEG3	transcriptional regulation	GDF15
MEG3	transcriptional regulation	TP53
H19	epigenetic regulation	ABCB1
E2F1	transcriptional regulation	H19
MYC	transcriptional regulation	SNHG12
SNHG12	expression association	MMP13
LNCRNA-ATB	expression association	CDH1
MIR100HG	expression association	miR-125b-1
MIR100HG	expression association	BCL2
PACERR	expression association	PTGS2
TP53COR1	expression association	CCND1
TP53COR1	expression association	CDK4
TP53COR1	expression association	CDKN1A
WT1-AS	transcriptional regulation	WT1
EZH2	expression association	HOTAIR
STAT3	transcriptional regulation	WSPAR
WT1-AS	expression association	MAPK1
FAM30A	expression association	CTNNB1
FAM30A	expression association	VIM
PVT1	transcriptional regulation	TSHR
PVT1	expression association	CCND1
GAS1RR	transcriptional regulation	GAS1
TWIST1	transcriptional regulation	GAS1RR
GAS1RR	expression association	SOX2
GAS1RR	expression association	POU5F1
YAP1	transcriptional regulation	RMRP
CTNNB1	transcriptional regulation	RMRP
FOXC2-AS1	expression association	ABCB1
HOXA-AS2	epigenetic regulation	CDKN1A
HOXA-AS2	epigenetic regulation	PLK3
HOXA-AS2	epigenetic regulation	DDIT3
SP1	transcriptional regulation	MALAT1
SP3	transcriptional regulation	MALAT1
MYC	transcriptional regulation	MINCR
MINCR	expression association	AURKA
MINCR	expression association	AURKB
MINCR	expression association	CDT1
UCA1	epigenetic regulation	HULC
UCA1	chromatin looping	CTNNB1
PCGEM1	ceRNA or sponge	miR-770-5p
MALINC1	expression association	PURA
PRDM16-DT	expression association	CDKN2B
PRDM16-DT	expression association	CDKN2A
NALT1	interact with protein	NOTCH1
STAT3	expression association	IGF2-AS
STAT3	expression association	RN7SK
RN7SK	expression association	PI4P
IGF2-AS	expression association	PI4P
BCAR4	expression association	ERBB2
BCAR4	expression association	ERBB3
SPRY4-IT1	expression association	MMP2
SPRY4-IT1	expression association	MMP9
GAS5	expression association	CDK6
GAS5	expression association	CDKN1A
HOTTIP	expression association	CDC25C
HOTTIP	expression association	CCNB1
HOTTIP	expression association	BAD
HOTTIP	expression association	BCL2
HOTTIP	expression association	BCL2L1
TARDBP	interact with protein	MALAT1
EZH2	epigenetic regulation	NPTN-IT1
ETS2	transcriptional regulation	UCA1
MEG3	expression association	BCL2
MEG3	expression association	CASP9
LINC-ROR	epigenetic regulation	TESC
TGFB1	expression association	ZEB2-AS1
ZEB2-AS1	expression association	ZEB2
HOTAIR	interact with protein	MAPK1
BRD4	transcriptional regulation	HOTAIR
ZFAS1	ceRNA or sponge	ZEB1
ZFAS1	ceRNA or sponge	MMP14
ZFAS1	ceRNA or sponge	MMP16
HIF1A-AS1	expression association	CASP8
HIF1A-AS1	expression association	BCL2
H19	ceRNA or sponge	FADD
HOTAIR	epigenetic regulation	miR-218-5p
HOTAIR	expression association	BMI1
HOTAIR	expression association	CDKN2A
HOTAIR	ceRNA or sponge	KIT
GAS5	interact with protein	YBX1
HOTAIR	epigenetic regulation	CDH1
ZXF2	interact with protein	MYC
IATPR	expression association	CTNNB1
IATPR	expression association	VIM
IATPR	expression association	SNAI2
PVT1	epigenetic regulation	MRPL28
PVT1	epigenetic regulation	CDKN2A
EGFR	expression association	HOTAIR
ABL1	expression association	HOTAIR
CTNNB1	transcriptional regulation	HOTAIR
lnc-bc060912	interact with protein	PARP1
lnc-bc060912	interact with protein	NPM1
MALAT1	expression association	SOX2
HOTAIR	expression association	CASP3
HOTAIR	expression association	BCL2
GAS5	interact with protein	ANXA2
SP1	expression association	MALAT1
WIF1	expression association	MALAT1
UCA1	ceRNA or sponge	FGFR1
NKILA	interact with protein	NFKB1
NKILA	interact with protein	NFKBIB
MEG3	transcriptional regulation	BMP4
SPRY4-IT1	transcriptional regulation	ZNF703
DANCR	expression association	IL6
DANCR	expression association	TNF
LINC-ROR	expression association	KLF4
CDKN2B-AS1	expression association	TERT
HULC	expression association	CLOCK
HULC	expression association	PPARA
HULC	transcriptional regulation	ACSL1
HULC	epigenetic regulation	miR-9
RXRA	transcriptional regulation	HULC
MIAT	ceRNA or sponge	VEGFA
MEG3	transcriptional regulation	MET
TET3	expression association	HIF1A-AS1
miR-217	ceRNA or sponge	MALAT1
MALAT1	expression association	DCTN6
MALAT1	expression association	MYBL2
MDC1-AS1	expression association	MDC1
PCGEM1	expression association	AR
PCGEM1	transcriptional regulation	MYC
LINC00974	ceRNA or sponge	KRT19
MALAT1	expression association	PCNA
PCAT1	ceRNA or sponge	miR-3667-3p
miR-125b-5p	ceRNA or sponge	HOTTIP
TP53	transcriptional regulation	LOC401317
LOC401317	expression association	CDKN1A
LOC401317	expression association	CCND1
LOC401317	expression association	CCNE1
LOC401317	expression association	CASP3
LOC401317	expression association	PARP1
ESR1	transcriptional regulation	NEAT1
POU3F3	transcriptional regulation	DALIR
DALIR	interact with protein	DNMT1
LINC-ROR	ceRNA or sponge	ARF6
PRAM1	expression association	NEAT1
FALEC	interact with protein	BMI1
MALAT1	transcriptional regulation	LTBP3
miR-29b-3p	expression association	MEG3
EWSAT1	ceRNA or sponge	CCND1
XIST	ceRNA or sponge	BCL2
HOTAIR	expression association	SMAD7
HOTAIR	epigenetic regulation	miR-17-5p
MEG3	ceRNA or sponge	miR-21-5p
MEG3	expression association	ABCC1
MEG3	expression association	ABCB1
MEG3	expression association	ABCG2
TUG1	expression association	miR-300
HULC	expression association	SIRT1
HULC	expression association	USP22
miR-200a-3p	ceRNA or sponge	H19
DUXAP8	epigenetic regulation	EGR1
DUXAP8	epigenetic regulation	RHOB
HOTAIR	epigenetic regulation	MEG3
HOTAIR	ceRNA or sponge	miR-148b
BLACAT1	epigenetic regulation	MRPL28
CRNDE	ceRNA or sponge	miR-451a
MALAT1	expression association	CDH5
MALAT1	expression association	MMP14
MALAT1	expression association	MAPK1
MALAT1	expression association	PTK2
MALAT1	expression association	PXN
MALAT1	ceRNA or sponge	JAG1
SRF	transcriptional regulation	HOTAIR
SP1	transcriptional regulation	LINC00673
LINC00673	epigenetic regulation	KLF2
LINC00673	epigenetic regulation	LATS2
SP1	transcriptional regulation	AGAP2-AS1
AGAP2-AS1	epigenetic regulation	CDKN1A
AGAP2-AS1	epigenetic regulation	CDH1
FEZF1-AS1	epigenetic regulation	CDKN1A
PTCSC3	expression association	LRP6
HOTAIR	epigenetic regulation	miR-454-3p
HOTAIR	expression association	KDM6B
HOTAIR	expression association	PCDHB5
PTCSC1	interact with protein	DHX9
CBR3-AS1	expression association	TJP1
miR-34c-5p	ceRNA or sponge	CBR3-AS1
TLR3	expression association	lnc-IL7R
UCA1	ceRNA or sponge	PPP1R13L
BDNF-AS	expression association	CDC42
BDNF-AS	expression association	CCNE1
LINC00511	epigenetic regulation	CDKN1C
POU5F1	expression association	AK055347
TUG1	expression association	CTNNB1
TUG1	expression association	MYC
LNCRNA-ATB	ceRNA or sponge	miR-141-3p
TGFB2	expression association	LNCRNA-ATB
HOXA-AS2	epigenetic regulation	KLF2
UCA1	expression association	CCND1
GAS5	expression association	IL10
GAS5	expression association	VEGFA
TUG1	expression association	BCL2
TUG1	expression association	CASP3
CCAT2	expression association	ZBTB7A
CCAT2	expression association	CDKN1A
CCAT1	expression association	miR-218-5p
ACTA2-AS1	expression association	ACTA2
TGFB1	expression association	UCA1
UCA1	expression association	SNAI1
UCA1	expression association	VIM
UCA1	expression association	CDH1
UCA1	expression association	TJP1
HULC	expression association	MYC
HULC	expression association	BCL2
MALAT1	ceRNA or sponge	CXCR4
LINC00052	expression association	ERBB3
PANDAR	expression association	CDKN2C
H19	expression association	miR-675-5p
HOTAIR	expression association	RB1
HOTAIR	expression association	CCNE1
LINC00261	expression association	CASP3
LINC00261	expression association	CASP9
NOTCH1	transcriptional regulation	TUG1
MALAT1	expression association	miR-155
MALAT1	expression association	FBXW7
HOTAIR	ceRNA or sponge	miR-126-3p
HOTAIR	expression association	PIK3R2
SPRY4-IT1	expression association	TWIST1
SPRY4-IT1	epigenetic regulation	CDH1
BANCR	expression association	MMP2
BANCR	expression association	MMP1
EWSAT1	expression association	MEG3
SPRY4-IT1	interact with protein	ELAVL1
SPRY4-IT1	expression association	CTNNB1
SPRY4-IT1	expression association	WNT3
SPRY4-IT1	expression association	WNT5B
H19	epigenetic regulation	PMAIP1
ESR1	expression association	H19
YAP1	expression association	HOTAIR
YAP1	expression association	H19
YAP1	expression association	MALAT1
YAP1	expression association	LATS2-AS1-001
RB1	epigenetic regulation	MEG3
CRNDE	expression association	miR-384
TP53TG1	interact with protein	YBX1
BX357664	expression association	TGFB1
BX357664	expression association	MAPK14
BX357664	expression association	HSPB1
GSEC	interact with protein	DHX36
PVT1	interact with protein	FOXM1
FOXM1	transcriptional regulation	PVT1
H19	transcriptional regulation	NOTCH1
91H	epigenetic regulation	H19
91H	epigenetic regulation	IGF2
SATB1	epigenetic regulation	UCA1
HIC1	expression association	lncRNA-numb
SNHG7	expression association	FAIM2
H19	ceRNA or sponge	PPP1R13L
CCDC26	expression association	PCNA
CCDC26	expression association	BCL2
MALAT1	expression association	IQGAP1
MALAT1	ceRNA or sponge	ANXA2
MALAT1	ceRNA or sponge	KRAS
WSPAR	transcriptional regulation	SNAI2
miR-23b-3p	ceRNA or sponge	TUSC7
UCA1	expression association	miR-196a-5p
CYTOR	ceRNA or sponge	ERBB4
HOTTIP	interact with mRNA	BABAM2
HOTTIP	expression association	CDK2
HOTTIP	expression association	CCNA2
HOTTIP	expression association	TP53
BC032469	expression association	TERT
H19	ceRNA or sponge	FOXM1
PCBP2-OT1	expression association	CCNB1
PCBP2-OT1	expression association	CDC25C
PCBP2-OT1	expression association	SNAI1
PCBP2-OT1	expression association	CDH2
PCBP2-OT1	expression association	VIM
PCBP2-OT1	expression association	CDH1
H19	expression association	VEGFA
UCA1	expression association	miR-27b-3p
NEAT1	expression association	MYC
NEAT1	expression association	EIF4G1
NEAT1	expression association	MMP2
NEAT1	expression association	MMP7
CPS1-IT1	expression association	CASP3
CPS1-IT1	expression association	CASP9
TUG1	expression association	POU2F1
TUG1	ceRNA or sponge	miR-9-5p
MALAT1	interact with protein	BIRC7
CASC2	expression association	MAPK3
CASC2	expression association	MAPK1
CASC2	expression association	MAPK8
IRAIN	epigenetic regulation	KLF2
IRAIN	epigenetic regulation	CDKN2B
LINC00312	ceRNA or sponge	miR-197-3p
NEAT1	ceRNA or sponge	EZH2
HOTAIR	expression association	ABCC1
SPRY4-IT1	expression association	ZNF703
MALAT1	epigenetic regulation	EGFL7
LINC01225	interact with protein	EGFR
NPTN-IT1	expression association	TP53
CHAST	expression association	PLEKHM1
NRCP	interact with protein	STAT1
NRCP	expression association	GPI
LINC-ROR	interact with protein	HNRNPD
LINC-ROR	interact with protein	PTBP1
LINC-ROR	interact with mRNA	MYC
TGFB1	expression association	AK056155
miR-217	expression association	MALAT1
NBAT1	epigenetic regulation	DKK1
LUADT1	epigenetic regulation	CDKN1B
NEAT1	ceRNA or sponge	MET
GPLD1	expression association	CDKN2B-AS1
LINC01426	interact with mRNA	RUNX1
RUNX1	transcriptional regulation	MT1DP
YAP1	transcriptional regulation	MT1DP
MT1DP	expression association	FOXA1
GAS5	expression association	miR-21-5p
FAS-AS1	interact with mRNA	FAS
MYC	expression association	H19
PANTR1	epigenetic regulation	POU3F3
HOTAIR	expression association	ASTN1
HOTAIR	expression association	PCDHA1
HOTAIR	expression association	MUC5AC
HOTAIR	expression association	NTM
HOTAIR	expression association	PTK2B
AR	expression association	PCAT18
CDKN2B-AS1	expression association	CARD8
H19	interact with protein	EZH2
HGF	transcriptional regulation	H19
MALAT1	epigenetic regulation	CDKN1A
MALAT1	epigenetic regulation	CDKN1B
NEAT1	ceRNA or sponge	miR-506-3p
PCA3	ceRNA or sponge	PRKD3
SNAI1	transcriptional regulation	PCA3
PCBP2-OT1	interact with protein	BMI1
PCBP2-OT1	transcriptional regulation	CDKN1A
SMILR	expression association	HAS2
PRAL	interact with protein	TP53
SNHG15	expression association	MMP2
SNHG15	expression association	MMP9
HULC	expression association	SPHK1
UCA1	ceRNA or sponge	GLS2
PTCSC3	expression association	S100A4
miR-1-3p	ceRNA or sponge	UCA1
ABALON	expression association	BCL2L1
YAP1	transcriptional regulation	MALAT1
SRSF1	transcriptional regulation	MALAT1
THRIL	transcriptional regulation	TNF
IGF1	expression association	CRNDE
BALR-6	expression association	SP1
NDC80	expression association	BX647187
BC032469	ceRNA or sponge	TERT
CDKN2B-AS1	expression association	BAX
CDKN2B-AS1	expression association	CYCS
CDKN2B-AS1	expression association	DIABLO
CDKN2B-AS1	expression association	CASP9
BANCR	expression association	CCND1
BANCR	epigenetic regulation	TSHR
AB073614	expression association	MAPK3
AB073614	expression association	MAPK1
FOXM1	expression association	FRGCA
BANCR	expression association	NFKB1
NUF2	expression association	AF339813
SP1	transcriptional regulation	CDKN2B-AS1
BANCR	expression association	CDKN1A
TUSC7	ceRNA or sponge	miR-23b-3p
TP53	transcriptional regulation	TUSC7
NOTCH1	expression association	AK022798
AK022798	expression association	ABCC1
AK022798	expression association	CASP3
AK022798	expression association	CASP8
BOK-AS1	expression association	CCN4
BANCR	expression association	MAPK14
BANCR	expression association	MAPK8
CDKN2B-AS1	interact with protein	KLF2
CDKN2B-AS1	interact with protein	CDKN1A
CDKN2B-AS1	epigenetic regulation	miR-99a-5p
CDKN2B-AS1	epigenetic regulation	miR-449a
AATBC	expression association	CCND1
AATBC	expression association	CDK4
AATBC	expression association	RB1
AATBC	expression association	CDKN2C
AATBC	expression association	CASP9
AATBC	expression association	CASP3
AATBC	expression association	MAPK8
AATBC	expression association	NFE2L2
AB074278	interact with protein	EMP1
TMPOP2	epigenetic regulation	CDH1
miR-129-5p	ceRNA or sponge	GACAT3
BANCR	expression association	MAPK3
BANCR	expression association	MAPK1
DNMT1	expression association	ADAMTS9-AS2
APTR	epigenetic regulation	CDKN1A
AK126698	expression association	CTNNB1
AK126698	expression association	NKD2
HEIH	interact with protein	EZH2
CDKN2B-AS1	expression association	CDKN2A
LOC285194	expression association	FLT1
BOK-AS1	expression association	BOK
CDKN2B-AS1	epigenetic regulation	CDKN2B
lncRNA-LOWEG	expression association	LIFR
GAS5	expression association	BAX
GAS5	expression association	BAK1
GAS5	expression association	CASP3
GAS5	expression association	CASP9
CPS1-IT1	expression association	CPS1
DBH-AS1	expression association	CDK6
DBH-AS1	expression association	CCND1
DBH-AS1	expression association	CCNE1
DBH-AS1	expression association	CDKN2A
DBH-AS1	expression association	CDKN1A
DBH-AS1	expression association	CDKN1B
HBX	expression association	DBH-AS1
TP53	expression association	DBH-AS1
DACOR1	epigenetic regulation	CBS
GHR	expression association	EGFR-AS1
DLX6-AS1	expression association	DLX6
DANCR	interact with mRNA	CTNNB1
CCDC26	expression association	KIT
GAS5	expression association	EGFR
GAS5	expression association	IGF1R
CCEPR	interact with mRNA	PCNA
AR	transcriptional regulation	DRAIC
AR	transcriptional regulation	PCAT29
FOXA1	transcriptional regulation	DRAIC
FOXA1	transcriptional regulation	PCAT29
CCAT1	ceRNA or sponge	BMI1
CASC2	ceRNA or sponge	miR-21-5p
EWSR1	expression association	EWSAT1
RPL13AP23	transcriptional regulation	OS9
RPL13AP23	expression association	HIF1A
GAPLINC	ceRNA or sponge	CD44
MYC	transcriptional regulation	CCAT1
FENDRR	expression association	FN1
GAS5	expression association	E2F1
PI3K	expression association	GAS5
CCAT1	chromatin looping	MYC
GHET1	interact with mRNA	MYC
GAS5	interact with mRNA	CDK6
